symbol,date,growth
Sweden,2009-04-01,-1,938341
Sweden,2009-07-01,0,345763
Sweden,2009-10-01,0,090743
Sweden,2010-01-01,0,863569
Sweden,2010-04-01,0,683518
Sweden,2010-07-01,1,585373
Sweden,2010-10-01,-0,225050
Sweden,2011-01-01,0,217843
Sweden,2011-04-01,1,002327
Sweden,2011-07-01,-1,243706
Sweden,2011-10-01,0,817188
Sweden,2012-01-01,-0,069457
Sweden,2012-04-01,0,075250
Sweden,2012-07-01,0,093894
Sweden,2012-10-01,-0,161630
Sweden,2013-01-01,0,563835
Sweden,2013-04-01,0,074282
Sweden,2013-07-01,0,633382
Sweden,2013-10-01,0,201104
Sweden,2014-01-01,0,253256
Sweden,2014-04-01,-0,072442
Sweden,2014-07-01,1,673875
Sweden,2014-10-01,0,358693
Sweden,2015-01-01,0,684680
Sweden,2015-04-01,0,467773
Sweden,2015-07-01,0,301653
Sweden,2015-10-01,0,222825
Sweden,2016-01-01,1,152059
Sweden,2016-04-01,1,352638
Sweden,2016-07-01,0,848382
Sweden,2016-10-01,0,720497
Sweden,2017-01-01,0,654391
Sweden,2017-04-01,1,117778
Sweden,2017-07-01,-0,366774
Sweden,2017-10-01,0,754962
Sweden,2018-01-01,0,512055
Sweden,2018-04-01,0,502599
Sweden,2018-07-01,0,602133
Sweden,2018-10-01,0,499343
Sweden,2019-01-01,0,696355
Sweden,2019-04-01,0,452103
Sweden,2019-07-01,0,483962
Sweden,2019-10-01,0,083540
Sweden,2020-01-01,-0,790851
Sweden,2020-04-01,-6,444432
Sweden,2020-07-01,6,246342
Sweden,2020-10-01,0,886257
Sweden,2021-01-01,-0,374261
Sweden,2021-04-01,2,814801
