symbol,date,value,income
Uganda,1986,250,LIC
Uganda,1987,310,LIC
Uganda,1988,400,LIC
Uganda,1989,400,LIC
Uganda,1990,320,LIC
Uganda,1991,250,LIC
Uganda,1992,190,LIC
Uganda,1993,180,LIC
Uganda,1994,180,LIC
Uganda,1995,230,LIC
Uganda,1996,280,LIC
Uganda,1997,300,LIC
Uganda,1998,290,LIC
Uganda,1999,290,LIC
Uganda,2000,270,LIC
Uganda,2001,250,LIC
Uganda,2002,250,LIC
Uganda,2003,260,LIC
Uganda,2004,280,LIC
Uganda,2005,310,LIC
Uganda,2006,350,LIC
Uganda,2007,390,LIC
Uganda,2008,430,LIC
Uganda,2009,550,LIC
Uganda,2010,680,LIC
Uganda,2011,850,LIC
Uganda,2012,830,LIC
Uganda,2013,800,LIC
Uganda,2014,820,LIC
Uganda,2015,830,LIC
Uganda,2016,800,LIC
Uganda,2017,740,LIC
Uganda,2018,750,LIC
Uganda,2019,790,LIC
Uganda,2020,800,LIC
